,Audio__sum_values,Audio__mean,Voltage__median,Voltage__standard_deviation,Voltage__root_mean_square,Voltage__minimum,Current__median,Current__mean,Current__length,Current__standard_deviation
0,607387.6676449999,1.7542388737436458,18.492905,0.6735693129151752,18.75837022002645,12.296329,5.724588,4.669995739128926,346240.0,3.445192337685229
1,954252.746443,1.7562072041427412,19.303783,0.6126773517591636,19.09931598056433,14.462709,1.110331,2.9496934943058006,543360.0,3.1968871873898586
2,781957.7801129997,1.753960711206664,19.291681,0.489283668596539,19.217615416026504,12.65941,0.670878,2.360631946294951,445824.0,2.7437527198861607
3,892384.028086,1.753899426269654,19.412708,0.4535451106810601,19.29752741424802,12.368945,0.670878,1.9585792186202828,508800.0,2.479324523036411
4,1028582.9297130004,1.7541593840608636,19.267475,0.7055880872362451,19.03299032088971,10.844007,0.890604,3.0419972509635578,586368.0,3.854590917717443
5,990305.224375,1.7539695228813617,19.267475,0.4507858452723596,19.16979167372854,12.792539,0.670878,2.21870946025384,564608.0,2.5270535799845604
6,729898.002351,1.7540228063264187,19.182756,0.7084341759330417,18.945391061049254,12.816745,1.183573,3.234812843673101,416128.0,3.909797729129633
7,808304.4452489996,1.7546203052258431,19.231169,0.4811004518833355,19.163105858357536,15.213077,0.670878,2.193680818979665,460672.0,2.6726929240761503
8,910403.673683,1.754014476115521,19.206963,0.5846769558453124,19.0108336338715,14.741072,0.890604,2.889159567357045,519040.0,3.0774886697139503
9,827427.2655499994,1.7542131647515251,18.638136,0.5321508201478695,18.78477824882037,14.32958,4.332987,3.8113934790747943,471680.0,2.807407344636496
10,760844.5045869998,1.753938534106207,19.231169,0.6712578283840615,19.054320032645027,13.676035,0.670878,2.5690663116539723,433792.0,3.691864253148884
11,750456.72529,1.753796938775987,19.243271,0.4791971423746756,19.15354525461892,15.297795,0.670878,1.9938279930778868,427904.0,2.6539644513831004
12,919410.768827,1.7540651114678725,19.158552,0.5339504248694719,19.00591057226368,13.010387,0.817362,2.6438416926587305,524160.0,2.9752153357728544
13,785214.0834760001,1.7542136194327282,18.444492,0.5464825216166451,18.61199049892485,12.986182,5.065409,4.400197296396913,447616.0,2.9000283557779136
14,848582.3644280001,1.75431323685995,19.182756,0.7576189766029892,18.90215112069407,12.610999,0.74412,3.1700692060440927,483712.0,4.076511490796826
15,864298.3162230001,1.7543077670803295,18.795471,0.6605450791979907,18.73930374692094,12.901464,3.600565,3.7080649087242623,492672.0,3.5634942816041604
16,539580.471611,1.7542540301543643,18.480801,0.6092478909524678,18.706671786038974,11.207088,4.552713,3.749327529182274,307584.0,3.3499501932137847
17,1013360.49642,1.7542386169468756,18.492905,0.4970354066696391,18.595428649091986,13.893884,4.479471,4.087670267629625,577664.0,2.655539730265107
18,561509.871333,1.7540167412191374,18.686546,0.7997473264390225,18.6223044837651,13.20403,3.966776,4.281189276979832,320128.0,4.367336492132876
19,892951.9929149997,1.7541331266402904,18.480801,0.5023374950686831,18.561488172577945,12.70782,4.552713,4.245515434671236,509056.0,2.738946532835476
20,761303.420034,1.7539613591906884,19.134346,0.4273144805900332,19.031641384550777,12.538383,0.670878,1.974489617662102,434048.0,2.402230931570796
21,484771.003349,1.7541794644113304,18.43239,0.7163504421026755,18.64678080586841,11.509654,4.77244,3.990643736596805,276352.0,4.0183974577764445
22,608659.373591,1.7540211568350008,18.359774,0.6501262586789587,18.478916338662412,10.287283,5.138651,4.622727798993107,347008.0,3.649020278490146
23,729830.6014670001,1.75386083480804,19.146448,0.420220550380989,19.07524287593138,12.078481,0.524393,1.699754820264438,416128.0,2.3093269028430408
24,1048687.6027689998,1.753986704481441,18.420288,0.4508049186978365,18.532011791780874,12.816745,4.699198,4.227046604109801,597888.0,2.4734887096264933
25,642930.508376,1.7544165549030737,18.359774,0.6757794878330977,18.45259778709452,9.730559,4.992167,4.639307230811212,366464.0,3.803893962151732
26,908933.777774,1.7537775102147135,18.989115,0.6584977312077317,18.832324101883646,13.869678,0.670878,2.799238306927637,518272.0,3.731963632370398
27,627598.3764289999,1.7542441201615606,18.335569,0.7090573589281159,18.438140807026645,8.701831,5.065409,4.708307261217018,357760.0,3.948252832406849
28,593761.076805,1.7537838988805527,19.122244,0.4306515925591074,19.046648487858597,14.075423,0.670878,1.7580053495923915,338560.0,2.377097337282491
29,973231.697247,1.7539498580720156,19.013319,0.5354828253388211,18.891857136395288,13.20403,0.670878,2.4367181438761527,554880.0,3.04140485873236
30,1312625.870184,1.753872004585685,19.013319,0.5025349322538184,18.911609001753728,13.494494,0.670878,2.2343264047494986,748416.0,2.8013513576349727
31,875931.9430870002,1.754221559950574,18.371878,0.521533448379165,18.520853726766028,11.146574,4.699198,4.082379196323861,499328.0,2.885374277791898
32,1089652.500921,1.754154165144305,18.456596,0.4338610777619086,18.596067990262085,12.429459,4.11326,3.553547241351999,621184.0,2.375908609375028
33,870342.3283529999,1.753817240200622,18.952806,0.5458400345231567,18.81791621890054,13.70024,0.670878,2.575402075499339,496256.0,3.1141821096117277
34,716730.8472230003,1.7536673172344783,19.061729,0.4814161728650076,18.969336926764967,11.89694,0.524393,1.803947379790753,408704.0,2.6190264369003744
35,629364.022931,1.7541585548157108,18.287159,0.648242441874275,18.449180560282592,9.403787,5.065409,4.390076112872925,358784.0,3.731324121964532
36,717229.9139209999,1.7537898912387515,19.049627,0.4196330691653919,18.96888944068771,13.385571,0.670878,1.753348309722222,408960.0,2.291439644925196
37,955589.4390339998,1.7545340757821677,18.311363,0.4696570818810015,18.438977985000747,12.405253,4.77244,4.247839895301485,544640.0,2.6355307126878813
38,1029084.901855,1.7542495735854655,18.940702,0.5116600043380121,18.81043388731,10.795596,0.670878,2.344141306334211,586624.0,2.915577254235461
39,526767.038476,1.753458665570409,19.001217,0.6059144473209519,18.91880454019964,12.961977,0.670878,2.700084044192054,300416.0,3.409134097143928
40,385406.879769,1.7536349727404266,18.299261,0.9377244243713304,18.543595627389045,10.965034,4.992167,4.405598944607236,219776.0,4.839289000812313
41,835350.1397699998,1.7538760996917826,18.275055,0.6083913226898554,18.49197920825489,12.34474,5.065409,4.282743317597757,476288.0,2.969158812119345
42,526960.3093750001,1.754102009796416,18.154028,0.913794468403196,18.29499566294824,8.193519,5.871073,5.309705046182627,300416.0,4.613480350999717
43,570687.171936,1.7532416558198978,18.045105,0.7893610767876612,18.193742220552547,7.648898,5.285135,4.7797637208667165,325504.0,4.251016933678436
44,581592.370782,1.7563550045359009,18.783369,0.7503261805248581,18.538013132434468,9.657944,0.74412,3.459040129004398,331136.0,4.164782106551351
45,454088.9337579999,1.753618287189508,18.359774,0.7560838710228917,18.451813286161045,9.863689,4.406229,4.175902211451125,258944.0,4.196682564276189
46,420129.983775,1.7542840717488974,18.081413,0.8526575792160612,18.296464589344637,12.102686,5.797831,4.902440598773218,239488.0,4.629956486284852
47,510204.461709,1.753617403036323,18.892292,0.8514021972711544,18.450823791733413,13.83337,0.817362,4.108677981236938,290944.0,4.535786882091747
48,561883.3769119999,1.753781015631242,18.88019,0.8136884378362031,18.5096765389165,13.893884,0.74412,3.734328606956028,320384.0,4.378287421117148
49,409129.6465389999,1.753332618533152,18.795471,0.7689056585357059,18.54420601333577,11.945351,0.670878,3.1184417828099296,233344.0,4.390852281935741
50,380461.51524300006,1.7536021167173674,18.952806,0.9199685770581542,18.40409439344906,8.532393,0.74412,3.888652379369469,216960.0,5.146266609718428
51,373356.3529710001,1.753966631140071,18.033003,1.027513744865401,18.170290325791218,7.854643,5.358377,5.057611633380938,212864.0,5.558707355243522
52,333226.79140799993,1.7530870760101007,18.868088,0.8926807417669801,18.311689428415857,12.719923,0.74412,4.123891848137626,190080.0,5.09548759159433
53,332322.7166679999,1.753052818344868,18.771265,0.8457250031763274,18.23735750857381,12.502074,0.74412,4.084704264205984,189568.0,4.969128926686463
