,Voltage__sum_values,Audio__length,Current__median,Voltage__minimum,Current__mean,Voltage__mean,Voltage__root_mean_square,Audio__mean,Audio__variance,Audio__standard_deviation
0,6490709.621715999,346240.0,5.724588,12.296329,4.669995739128926,18.74627316807994,18.75837022002645,1.7542388737436458,0.1903681762021875,0.436312017027021
1,10372463.420994,543360.0,1.110331,14.462709,2.9496934943058006,19.08948656690592,19.09931598056433,1.7562072041427412,0.3857688653833414,0.6211029426619563
2,8564896.856094003,445824.0,0.670878,12.65941,2.360631946294951,19.21138578473569,19.217615416026504,1.753960711206664,0.0666734975685604,0.258212117392969
3,9815869.781505002,508800.0,0.670878,12.368945,1.9585792186202828,19.292196897612037,19.29752741424802,1.753899426269654,0.0454264852905372,0.2131348992786897
4,11152664.885080997,586368.0,0.890604,10.844007,3.0419972509635578,19.019907097728726,19.03299032088971,1.7541593840608636,0.114367613625461,0.3381828109550529
5,10820424.782019002,564608.0,0.670878,12.792539,2.21870946025384,19.164490729885163,19.16979167372854,1.7539695228813617,0.0782438953214275,0.2797211027459809
6,7878193.976977999,416128.0,1.183573,12.816745,3.234812843673101,18.932141016653528,18.945391061049254,1.7540228063264187,0.138865178351265,0.3726461838678414
7,8825123.797319999,460672.0,0.670878,15.213077,2.193680818979665,19.157065758978185,19.163105858357536,1.7546203052258431,0.2153377033365805,0.4640449367642971
8,9862715.374036,519040.0,0.890604,14.741072,2.889159567357045,19.0018406558955,19.0108336338715,1.754014476115521,0.1363925838439142,0.3693136659317039
9,8856848.153049,471680.0,4.332987,14.32958,3.8113934790747943,18.77723913044649,18.78477824882037,1.7542131647515251,0.2112957051624787,0.4596691257442453
10,8260480.954646002,433792.0,0.670878,13.676035,2.5690663116539723,19.042492610850363,19.054320032645027,1.753938534106207,0.126506448882398,0.3556774506240142
11,8193313.178402998,427904.0,0.670878,15.297795,1.9938279930778868,19.147549867266957,19.15354525461892,1.753796938775987,0.0771248713124455,0.2777136498489865
12,9958205.910985002,524160.0,0.817362,13.010387,2.6438416926587305,18.998408712959787,19.00591057226368,1.7540651114678725,0.070493892422215,0.2655068594635834
13,8327432.800021001,447616.0,5.065409,12.986182,4.400197296396913,18.603965899389213,18.61199049892485,1.7542136194327282,0.2067493593305471,0.4546969972746105
14,9135850.123072997,483712.0,0.74412,12.610999,3.1700692060440927,18.886961917572847,18.90215112069407,1.75431323685995,0.1539420520220895,0.3923544978996539
15,9226592.866244,492672.0,3.600565,12.901464,3.7080649087242623,18.727658292421737,18.73930374692094,1.7543077670803295,0.1582971586513036,0.3978657545596299
16,5750820.541294,307584.0,4.552713,11.207088,3.749327529182274,18.696748014506607,18.706671786038974,1.7542540301543643,0.1575496984113121,0.3969253058338711
17,10738071.81545,577664.0,4.479471,13.893884,4.087670267629625,18.588784856681396,18.595428649091986,1.7542386169468756,0.1931394875967797,0.4394763788837572
18,5956021.045061001,320128.0,3.966776,13.20403,4.281189276979832,18.605123716329096,18.6223044837651,1.7540167412191374,0.1821787964367332,0.426824081369284
19,9445375.987664,509056.0,4.552713,12.70782,4.245515434671236,18.554689440187325,18.561488172577945,1.7541331266402904,0.2010945211489249,0.448435637688314
20,8258563.396588999,434048.0,0.670878,12.538383,1.974489617662102,19.026843567045574,19.031641384550777,1.7539613591906884,0.0920171669553592,0.3033433153299397
21,5149271.172448,276352.0,4.77244,11.509654,3.990643736596805,18.63301576412691,18.64678080586841,1.7541794644113304,0.1889270225321959,0.4346573622201699
22,6408362.053566001,347008.0,5.138651,10.287283,4.622727798993107,18.467476408515083,18.478916338662412,1.7540211568350008,0.2170940447287416,0.4659335196449614
23,7935816.322153998,416128.0,0.524393,12.078481,1.699754820264438,19.07061366251249,19.07524287593138,1.75386083480804,0.073656076636781,0.2713965302592886
24,11076788.712211996,597888.0,4.699198,12.816745,4.227046604109801,18.52652789855625,18.532011791780874,1.753986704481441,0.1942508769407255,0.4407390122745269
25,6757676.519037001,366464.0,4.992167,9.730559,4.639307230811212,18.440219282213263,18.45259778709452,1.7544165549030737,0.270409356878193,0.5200089969204312
26,9754297.776837995,518272.0,0.670878,13.869678,2.799238306927637,18.820807948023425,18.832324101883646,1.7537775102147135,0.1173613627345852,0.3425804470990503
27,6591549.836816003,357760.0,5.065409,8.701831,4.708307261217018,18.424502003622543,18.438140807026645,1.7542441201615606,0.2188020583424549,0.4677628227450905
28,6446784.790170998,338560.0,0.670878,14.075423,1.7580053495923915,19.04177927153532,19.046648487858597,1.7537838988805527,0.0854829595651657,0.2923746903635226
29,10478501.839046998,554880.0,0.670878,13.20403,2.4367181438761527,18.884266578443984,18.891857136395288,1.7539498580720156,0.132775487720466,0.3643837094608732
30,14148752.791044,748416.0,0.670878,13.494494,2.2343264047494986,18.90493093552784,18.911609001753728,1.753872004585685,0.1110763624408351,0.3332812062520705
31,9244313.558660006,499328.0,4.699198,11.146574,4.082379196323861,18.513509273783978,18.520853726766028,1.754221559950574,0.221685489687702,0.4708348858014899
32,11548435.557504002,621184.0,4.11326,12.429459,3.553547241351999,18.591006139089227,18.596067990262085,1.754154165144305,0.2203883127020771,0.4694553362164255
33,9334574.429728003,496256.0,0.670878,13.70024,2.575402075499339,18.809998125419146,18.81791621890054,1.753817240200622,0.1397470847172971,0.3738276136366829
34,7750346.767207,408704.0,0.524393,11.89694,1.803947379790753,18.96322709639984,18.969336926764967,1.7536673172344783,0.077202349803022,0.2778531083198855
35,6615183.512216998,358784.0,5.065409,9.403787,4.390076112872925,18.43778850845355,18.449180560282592,1.7541585548157108,0.2378546804530715,0.4877034759493431
36,7755618.565507999,408960.0,0.670878,13.385571,1.753348309722222,18.96424727481416,18.96888944068771,1.7537898912387515,0.0907580373531178,0.3012607464525005
37,10039346.791057004,544640.0,4.77244,12.405253,4.247839895301485,18.432995723885508,18.438977985000747,1.7545340757821677,0.2365446421582878,0.4863585530843349
38,11030569.016347006,586624.0,0.670878,10.795596,2.344141306334211,18.80347380323172,18.81043388731,1.7542495735854655,0.1634045815747946,0.4042333256608053
39,5680595.948106,300416.0,0.670878,12.961977,2.700084044192054,18.909099209449565,18.91880454019964,1.753458665570409,0.079708808327175,0.2823274841866712
40,4070223.108608,219776.0,4.992167,10.965034,4.405598944607236,18.51987072568433,18.543595627389045,1.7536349727404266,0.1459400616026837,0.3820210224617014
41,8802739.753681999,476288.0,5.065409,12.34474,4.282743317597757,18.481968375608872,18.49197920825489,1.7538760996917826,0.1895918483200253,0.4354214605643884
42,5489249.341138999,300416.0,5.871073,8.193519,5.309705046182627,18.27216040803086,18.29499566294824,1.754102009796416,0.2378376572637243,0.4876860232400805
43,5916559.386672001,325504.0,5.285135,7.648898,4.7797637208667165,18.176610384732605,18.193742220552547,1.7532416558198978,0.1863093012141248,0.431635611614849
44,6133573.245479,331136.0,0.74412,9.657944,3.459040129004398,18.522822180249204,18.538013132434468,1.7563550045359009,0.4583948036828144,0.6770485977260527
45,4773973.431902001,258944.0,4.406229,9.863689,4.175902211451125,18.436316083408,18.451813286161045,1.753618287189508,0.1764957351592399,0.4201139549684584
46,4377022.999837,239488.0,5.797831,12.102686,4.902440598773218,18.27658588253691,18.296464589344637,1.7542840717488974,0.2382928295840177,0.4881524655105387
47,5362438.208639999,290944.0,0.817362,13.83337,4.108677981236938,18.43116960184777,18.450823791733413,1.753617403036323,0.1636012234101449,0.4044764806637648
48,5924471.388926,320384.0,0.74412,13.893884,3.734328606956028,18.491782950852727,18.5096765389165,1.753781015631242,0.1572538498556438,0.3965524553645379
49,24358938.703607,1371520.0,6.383768,9.113322,6.334306626184814,17.760542101906644,17.768047492444108,1.7548298633027593,0.3845446208211043,0.6201166187267556
50,4323457.937007001,233344.0,0.670878,11.945351,3.1184417828099296,18.528258438215683,18.54420601333577,1.753332618533152,0.0994627327260862,0.315377127778928
51,3987960.570357,216960.0,0.74412,8.532393,3.888652379369469,18.38108669965431,18.40409439344906,1.7536021167173674,0.155363249305515,0.3941614508111049
52,3861611.497952,212864.0,5.358377,7.854643,5.057611633380938,18.141214568701145,18.170290325791218,1.753966631140071,0.1934745500964221,0.4398574201902499
53,13844190.094016,793472.0,8.214823,9.766868,7.888825151631057,17.447610116067107,17.46283539350286,1.755368733110935,0.4206633625371501,0.6485856632220219
54,3476547.5633959994,190080.0,0.74412,12.719923,4.123891848137626,18.289917736721375,18.311689428415857,1.7530870760101007,0.12459109786325,0.3529746419549853
55,24368690.806638,1397376.0,6.896463,11.328114,7.317389644303322,17.43889318740124,17.45136180506948,1.75407623747438,0.3048480109998487,0.5521304293369899
56,3453500.0545730004,189568.0,0.74412,12.502074,4.084704264205984,18.217737458711387,18.23735750857381,1.753052818344868,0.1351003840568341,0.3675600414311029
57,17303941.854617,987264.0,7.042948,7.697308,6.911841298500705,17.527167864539777,17.537250850403623,1.754388601379165,0.3357486574315974,0.5794382257252255
58,14937631.091773998,863360.0,7.995096,10.686671,8.160821972522472,17.301740979167437,17.319724927938214,1.7549671608355728,0.3759609124512192,0.6131565154601386
59,15290152.617204,884608.0,8.214823,10.226769,7.749320270213472,17.284664639257162,17.299130294342465,1.7547216600075963,0.3550062232639528,0.5958239868148587
60,19560511.754916005,1130112.0,6.969706,8.133005,6.901552745648218,17.308471863776337,17.317636676666456,1.754403565925324,0.3521197168611955,0.593396761754895
61,30176238.476482,1740672.0,6.090799,7.261611,6.12810572714504,17.335970519708482,17.342558531375193,1.753977336908963,0.3286116563448479,0.5732465929640123
62,27586749.975443013,1579648.0,5.944315,11.509654,5.6987523887321725,17.463859021404144,17.471039232168,1.75393626564589,0.291691946333618,0.5400851287839891
63,21935450.61774801,1280896.0,6.823221,11.146574,6.912961822990309,17.12508323684984,17.13591562109498,1.754378241634762,0.3267863436111691,0.5716522925792995
64,25975011.214534003,1514112.0,6.383768,12.042172,6.253682542003499,17.155277294238473,17.162443232428902,1.754266965132697,0.3329688371282326,0.5770345198757459
65,17680072.442084998,1048192.0,7.335917,9.791073,7.3306139732835165,16.867207956257058,16.880598277982664,1.754737014655712,0.3887864507495081,0.6235274258198337
66,13807455.959210992,828288.0,8.141581,11.412833,7.647593781709985,16.669873231546266,16.68334059880569,1.75445697019515,0.3806113049213389,0.6169370348109594
67,25314046.032255013,1440128.0,6.45701,8.677626,6.840882384145022,17.577636176961363,17.59015060155398,1.754658838621984,0.4368195218601788,0.6609232344684055
68,42703218.010652006,2412160.0,5.211893,9.9121,5.403671383639144,17.703310730072634,17.708122340701088,1.7538783391653117,0.3219130675601643,0.5673738340460938
69,36451932.74993399,2067584.0,5.871073,11.412833,5.810484194181228,17.63020643898095,17.636359133423767,1.754985227804045,0.4162712185266534,0.6451908388427826
70,14462382.480243996,834176.0,7.77537,10.614056,7.367065763277776,17.337327470754367,17.349374386559756,1.7551181539806946,0.4277892248853342,0.6540559799324017
71,17172092.813304003,1009536.0,7.702127,9.052809,7.339407177607335,17.00988653530335,17.021077018452853,1.7555301791317983,0.4787059709345513,0.6918858077273672
72,15125508.376423992,906880.0,8.141581,9.028604,8.337901232541236,16.678621621850734,16.69433220272694,1.7551846275835838,0.4345062810408229,0.6591709042735601
73,16933333.846330006,1009024.0,7.555643,10.844007,7.361214638917413,16.781894034562118,16.793123395885175,1.754644929852015,0.4064913736954166,0.6375667601870542
